;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
807;38 700 км;Renault Logan II;655 000 ₽;2015;механика;седан;передний;белый;1.6 л/102л.с./Бензин
808;99 000 км;Renault Logan II;550 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
809;249 000 км;Renault Logan I;229 000 ₽;2006;механика;седан;передний;синий;1.4 л/75л.с./Бензин
810;Новый;Renault Logan II Рестайлинг Stepway;от 887 000 ₽;2021;вариатор;седан;передний;Stepway Drive City;1.6 л/113л.с./Бензин
811;136 000 км;Renault Logan I;195 000 ₽;2009;механика;седан;передний;белый;1.4 л/75л.с./Бензин
812;Новый;Renault Logan II Рестайлинг Stepway;от 727 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
813;67 493 км;Renault Logan II;669 000 ₽;2017;механика;седан;передний;серый;1.6 л/82л.с./Бензин
814;197 000 км;Renault Logan I;219 000 ₽;2007;механика;седан;передний;синий;1.6 л/87л.с./Бензин
815;Новый;Renault Logan II Рестайлинг Stepway;850 000 ₽;2020;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
816;139 897 км;Renault Logan I Рестайлинг;315 000 ₽;2013;механика;седан;передний;серый;1.6 л/84л.с./Бензин
817;71 500 км;Renault Logan II;549 875 ₽;2018;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
818;130 000 км;Renault Logan II;445 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/102л.с./Бензин
819;121 000 км;Renault Logan I Рестайлинг;245 000 ₽;2011;механика;седан;передний;серый;1.4 л/75л.с./Бензин
820;80 000 км;Renault Logan II;600 000 ₽;2016;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
821;348 000 км;Renault Logan I Рестайлинг;320 000 ₽;2015;механика;седан;передний;белый;1.4 л/75л.с./Бензин
822;108 000 км;Renault Logan II;395 000 ₽;2016;механика;седан;передний;белый;1.6 л/82л.с./Бензин
823;76 866 км;Renault Logan II Рестайлинг Stepway;729 000 ₽;2019;механика;седан;передний;серый;1.6 л/82л.с./Бензин
824;135 000 км;Renault Logan I;228 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
825;161 894 км;Renault Logan I;279 000 ₽;2006;механика;седан;передний;зелёный;1.6 л/87л.с./Бензин
826;88 740 км;Renault Logan I Рестайлинг;364 600 ₽;2010;механика;седан;передний;бежевый;1.6 л/102л.с./Бензин
827;Новый;Renault Logan II Рестайлинг Stepway;от 657 200 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
828;151 000 км;Renault Logan I;185 000 ₽;2007;механика;седан;передний;серый;1.4 л/75л.с./Бензин
829;119 207 км;Renault Logan II;517 000 ₽;2015;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
830;180 000 км;Renault Logan I;245 000 ₽;2007;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
831;101 000 км;Renault Logan II;580 000 ₽;2016;механика;седан;передний;синий;1.6 л/82л.с./Бензин
832;90 000 км;Renault Logan I Рестайлинг;250 000 ₽;2011;механика;седан;передний;белый;1.4 л/75л.с./Бензин
833;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
834;Новый;Renault Logan II Рестайлинг;700 000 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
835;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
836;Новый;Renault Logan II Рестайлинг;от 583 529 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
837;Новый;Renault Logan II Рестайлинг;от 626 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
838;Новый;Renault Logan II Рестайлинг;от 566 675 ₽;2020;механика;седан;передний;Access;1.6 л/82л.с./Бензин
839;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
840;168 000 км;Renault Logan I Рестайлинг;194 000 ₽;2013;механика;седан;передний;белый;1.4 л/75л.с./Бензин
841;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
842;Новый;Renault Logan II Рестайлинг;от 583 529 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
843;Новый;Renault Logan II Рестайлинг;от 626 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
844;300 000 км;Renault Logan II;325 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
845;Новый;Renault Logan II Рестайлинг;от 566 675 ₽;2020;механика;седан;передний;Access;1.6 л/82л.с./Бензин
846;Новый;Renault Logan II Рестайлинг;от 626 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
847;84 км;Renault Logan II Рестайлинг;881 000 ₽;2020;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
848;46 000 км;Renault Logan II;480 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
849;Новый;Renault Logan II Рестайлинг;от 583 529 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
850;61 000 км;Renault Logan II Рестайлинг;789 000 ₽;2019;механика;седан;передний;чёрный;1.6 л/113л.с./Бензин
851;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
852;Новый;Renault Logan II Рестайлинг;от 626 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
853;50 434 км;Renault Logan II;660 000 ₽;2016;механика;седан;передний;белый;1.6 л/113л.с./Бензин
854;161 515 км;Renault Logan I;289 000 ₽;2009;механика;седан;передний;красный;1.6 л/87л.с./Бензин
855;210 000 км;Renault Logan I;140 000 ₽;2006;механика;седан;передний;синий;1.4 л/75л.с./Бензин
856;Новый;Renault Logan II Рестайлинг;от 583 529 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
857;150 041 км;Renault Logan I;249 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
858;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
859;Новый;Renault Logan II Рестайлинг;от 614 395 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
860;145 500 км;Renault Logan I Рестайлинг;310 730 ₽;2011;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
861;187 000 км;Renault Logan I Рестайлинг;270 000 ₽;2014;механика;седан;передний;белый;1.4 л/75л.с./Бензин
862;200 000 км;Renault Logan I Рестайлинг;327 500 ₽;2013;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
863;63 км;Renault Logan II Рестайлинг;741 000 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
864;55 000 км;Renault Logan I Рестайлинг;444 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
865;225 000 км;Renault Logan I Рестайлинг;240 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
866;240 000 км;Renault Logan I;205 000 ₽;2008;механика;седан;передний;белый;1.4 л/75л.с./Бензин
867;5 км;Renault Logan II Рестайлинг;690 000 ₽;2020;механика;седан;передний;белый;1.6 л/113л.с./Бензин
868;170 000 км;Renault Logan I;215 000 ₽;2008;механика;седан;передний;синий;1.6 л/87л.с./Бензин
869;Новый;Renault Logan II Рестайлинг Stepway;888 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
870;66 584 км;Renault Logan II;529 000 ₽;2014;механика;седан;передний;синий;1.6 л/82л.с./Бензин
871;248 110 км;Renault Logan I;139 000 ₽;2005;механика;седан;передний;зелёный;1.6 л/87л.с./Бензин
872;Новый;Renault Logan II Рестайлинг Stepway;от 751 200 ₽;2020;механика;седан;передний;Stepway Drive;1.6 л/113л.с./Бензин
873;Новый;Renault Logan II Рестайлинг;от 747 000 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
874;22 205 км;Renault Logan II Рестайлинг Stepway;904 262 ₽;2020;вариатор;седан;передний;красный;1.6 л/113л.с./Бензин
875;198 581 км;Renault Logan I;249 000 ₽;2007;механика;седан;передний;синий;1.4 л/75л.с./Бензин
876;Новый;Renault Logan II Рестайлинг Stepway;от 669 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
877;140 000 км;Renault Logan II;320 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
878;Новый;Renault Logan II Рестайлинг Stepway;869 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
879;Новый;Renault Logan II Рестайлинг;от 633 499 ₽;2020;механика;седан;передний;Life;1.6 л/113л.с./Бензин
880;118 000 км;Renault Logan I;235 000 ₽;2009;механика;седан;передний;синий;1.6 л/87л.с./Бензин
881;87 419 км;Renault Logan II;480 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
882;185 209 км;Renault Logan I;240 000 ₽;2008;механика;седан;передний;красный;1.6 л/87л.с./Бензин
883;109 764 км;Renault Logan I Рестайлинг;359 000 ₽;2012;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
884;221 000 км;Renault Logan I Рестайлинг;195 000 ₽;2012;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
885;200 000 км;Renault Logan I Рестайлинг;267 000 ₽;2009;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
886;160 650 км;Renault Logan II;460 000 ₽;2015;робот;седан;передний;чёрный;1.6 л/82л.с./Бензин
887;107 000 км;Renault Logan I Рестайлинг;440 000 ₽;2014;автомат;седан;передний;чёрный;1.6 л/103л.с./Бензин
888;350 000 км;Renault Logan I;220 000 ₽;2008;механика;седан;передний;синий;1.6 л/87л.с./Бензин
889;99 000 км;Renault Logan I Рестайлинг;360 000 ₽;2011;механика;седан;передний;синий;1.6 л/102л.с./Бензин
890;200 000 км;Renault Logan I;248 000 ₽;2007;механика;седан;передний;серый;1.6 л/87л.с./Бензин
891;64 000 км;Renault Logan II;494 750 ₽;2014;механика;седан;передний;красный;1.6 л/102л.с./Бензин
892;239 624 км;Renault Logan II;510 000 ₽;2018;механика;седан;передний;белый;1.6 л/113л.с./Бензин
893;2 375 км;Renault Logan II Рестайлинг;730 000 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
894;131 000 км;Renault Logan I;250 000 ₽;2008;механика;седан;передний;синий;1.6 л/87л.с./Бензин
895;142 000 км;Renault Logan II;360 000 ₽;2015;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
896;192 000 км;Renault Logan I;224 399 ₽;2008;механика;седан;передний;красный;1.6 л/87л.с./Бензин
897;360 000 км;Renault Logan II;405 000 ₽;2014;механика;седан;передний;голубой;1.6 л/82л.с./Бензин
898;69 000 км;Renault Logan II;619 000 ₽;2016;механика;седан;передний;чёрный;1.6 л/102л.с./Бензин
899;180 000 км;Renault Logan II;439 990 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
900;31 000 км;Renault Logan II Рестайлинг;600 000 ₽;2019;механика;седан;передний;белый;1.6 л/82л.с./Бензин
901;280 000 км;Renault Logan II;420 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
902;179 000 км;Renault Logan I;265 000 ₽;2008;механика;седан;передний;зелёный;1.4 л/75л.с./Бензин
903;46 530 км;Renault Logan II Рестайлинг;650 000 ₽;2018;автомат;седан;передний;коричневый;1.6 л/102л.с./Бензин
904;190 000 км;Renault Logan I;180 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
905;156 000 км;Renault Logan I Рестайлинг;325 000 ₽;2013;механика;седан;передний;белый;1.6 л/84л.с./Бензин
906;94 000 км;Renault Logan I Рестайлинг;370 000 ₽;2011;механика;седан;передний;серый;1.6 л/84л.с./Бензин
907;18 228 км;Renault Logan II;698 000 ₽;2016;механика;седан;передний;белый;1.6 л/113л.с./Бензин
908;192 000 км;Renault Logan I;199 999 ₽;2006;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
909;Новый;Renault Logan II Рестайлинг;от 636 000 ₽;2020;автомат;седан;передний;Life;1.6 л/102л.с./Бензин
910;33 000 км;Renault Logan II;490 000 ₽;2018;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
911;189 000 км;Renault Logan I Рестайлинг;300 000 ₽;2010;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
912;Новый;Renault Logan II Рестайлинг;от 636 000 ₽;2020;автомат;седан;передний;Life;1.6 л/102л.с./Бензин
913;71 972 км;Renault Logan I;353 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
914;21 000 км;Renault Logan II Рестайлинг;740 000 ₽;2019;механика;седан;передний;коричневый;1.6 л/82л.с./Бензин
915;143 514 км;Renault Logan I Рестайлинг;369 000 ₽;2012;механика;седан;передний;синий;1.6 л/84л.с./Бензин
916;4 000 км;Renault Logan II Рестайлинг Stepway;860 000 ₽;2020;механика;седан;передний;чёрный;1.6 л/82л.с./Бензин
917;153 000 км;Renault Logan I Рестайлинг;330 000 ₽;2011;механика;седан;передний;синий;1.6 л/102л.с./Бензин
918;60 000 км;Renault Logan II;630 000 ₽;2017;автомат;седан;передний;бежевый;1.6 л/102л.с./Бензин
919;9 000 км;Renault Logan II Рестайлинг Stepway;794 750 ₽;2020;механика;седан;передний;белый;1.6 л/82л.с./Бензин
920;189 000 км;Renault Logan I;225 000 ₽;2008;механика;седан;передний;серый;1.4 л/75л.с./Бензин
921;149 008 км;Renault Logan I Рестайлинг;327 000 ₽;2009;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
922;240 000 км;Renault Logan I Рестайлинг;170 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
923;154 000 км;Renault Logan I Рестайлинг;220 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
924;181 700 км;Renault Logan I;225 000 ₽;2006;механика;седан;передний;серый;1.6 л/87л.с./Бензин
925;Новый;Renault Logan II Рестайлинг Stepway;от 791 100 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
926;64 000 км;Renault Logan II Рестайлинг;600 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
927;Новый;Renault Logan II Рестайлинг Stepway;от 766 800 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
928;400 000 км;Renault Logan I;150 000 ₽;2006;механика;седан;передний;серебристый;1.6 л/87л.с./Бензин
929;Новый;Renault Logan II Рестайлинг Stepway;от 791 100 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
930;189 409 км;Renault Logan II;465 000 ₽;2014;механика;седан;передний;белый;1.6 л/102л.с./Бензин
931;86 366 км;Renault Logan II;500 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
932;36 836 км;Renault Logan II Рестайлинг;734 000 ₽;2019;механика;седан;передний;белый;1.6 л/82л.с./Бензин
933;67 000 км;Renault Logan I Рестайлинг;250 000 ₽;2012;механика;седан;передний;чёрный;1.6 л/84л.с./Бензин
934;154 000 км;Renault Logan I;167 000 ₽;2008;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
935;187 000 км;Renault Logan I Рестайлинг;360 000 ₽;2013;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
936;132 000 км;Renault Logan I Рестайлинг;365 000 ₽;2011;механика;седан;передний;чёрный;1.6 л/102л.с./Бензин
937;122 570 км;Renault Logan II;378 000 ₽;2015;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
938;95 000 км;Renault Logan II;417 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
939;15 000 км;Renault Logan II Рестайлинг;675 000 ₽;2018;механика;седан;передний;белый;1.6 л/113л.с./Бензин
940;79 759 км;Renault Logan II;565 000 ₽;2015;механика;седан;передний;синий;1.6 л/82л.с./Бензин
941;151 993 км;Renault Logan II;479 000 ₽;2016;механика;седан;передний;белый;1.6 л/82л.с./Бензин
942;61 639 км;Renault Logan II;449 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
943;966 км;Renault Logan II;665 000 ₽;2014;механика;седан;передний;чёрный;1.6 л/102л.с./Бензин
944;88 000 км;Renault Logan II Рестайлинг Stepway;745 000 ₽;2018;вариатор;седан;передний;серый;1.6 л/113л.с./Бензин
945;130 671 км;Renault Logan I Рестайлинг;275 000 ₽;2010;механика;седан;передний;красный;1.6 л/84л.с./Бензин
946;155 422 км;Renault Logan I Рестайлинг;357 000 ₽;2012;механика;седан;передний;синий;1.6 л/84л.с./Бензин
947;141 504 км;Renault Logan I Рестайлинг;385 000 ₽;2011;механика;седан;передний;бежевый;1.6 л/102л.с./Бензин
948;147 000 км;Renault Logan I Рестайлинг;375 000 ₽;2011;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
949;56 994 км;Renault Logan II;559 000 ₽;2015;робот;седан;передний;серебристый;1.6 л/82л.с./Бензин
950;37 931 км;Renault Logan II;469 000 ₽;2016;механика;седан;передний;серебристый;1.6 л/82л.с./Бензин
951;104 611 км;Renault Logan II;499 000 ₽;2016;механика;седан;передний;бежевый;1.6 л/82л.с./Бензин
952;69 000 км;Renault Logan II;610 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
953;120 200 км;Renault Logan I Рестайлинг;389 000 ₽;2013;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
954;185 000 км;Renault Logan I Рестайлинг;427 000 ₽;2014;механика;седан;передний;белый;1.6 л/84л.с./Бензин
955;20 490 км;Renault Logan II Рестайлинг;825 000 ₽;2018;автомат;седан;передний;коричневый;1.6 л/102л.с./Бензин
956;97 384 км;Renault Logan I Рестайлинг;439 875 ₽;2014;автомат;седан;передний;синий;1.6 л/103л.с./Бензин
957;22 000 км;Renault Logan I Рестайлинг;379 000 ₽;2011;механика;седан;передний;бежевый;1.4 л/75л.с./Бензин
958;190 000 км;Renault Logan I Рестайлинг;265 000 ₽;2011;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
959;165 000 км;Renault Logan I Рестайлинг;340 000 ₽;2012;механика;седан;передний;белый;1.6 л/84л.с./Бензин
960;113 000 км;Renault Logan I;205 000 ₽;2006;механика;седан;передний;серый;1.4 л/75л.с./Бензин
961;145 000 км;Renault Logan I Рестайлинг;240 000 ₽;2010;механика;седан;передний;белый;1.4 л/75л.с./Бензин
962;124 070 км;Renault Logan II;410 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
963;14 000 км;Renault Logan II Рестайлинг Stepway;780 000 ₽;2019;механика;седан;передний;белый;1.6 л/113л.с./Бензин
964;210 000 км;Renault Logan II;460 000 ₽;2014;механика;седан;передний;белый;1.6 л/102л.с./Бензин
965;300 000 км;Renault Logan I;95 000 ₽;2007;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
966;228 883 км;Renault Logan I;220 000 ₽;2008;механика;седан;передний;серый;1.6 л/87л.с./Бензин
967;Новый;Renault Logan II Рестайлинг Stepway;782 530 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
968;88 000 км;Renault Logan I Рестайлинг;275 000 ₽;2011;механика;седан;передний;белый;1.4 л/75л.с./Бензин
969;160 000 км;Renault Logan I;225 000 ₽;2007;механика;седан;передний;чёрный;1.6 л/87л.с./Бензин
970;71 800 км;Renault Logan II Рестайлинг;565 000 ₽;2018;механика;седан;передний;белый;1.6 л/82л.с./Бензин
971;Новый;Renault Logan II Рестайлинг Stepway;782 530 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
972;123 000 км;Renault Logan II;550 000 ₽;2017;автомат;седан;передний;белый;1.6 л/102л.с./Бензин
973;55 000 км;Renault Logan II Рестайлинг Stepway;855 000 ₽;2019;механика;седан;передний;серебристый;1.6 л/113л.с./Бензин
974;Новый;Renault Logan II Рестайлинг;632 363 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
975;Новый;Renault Logan II Рестайлинг;684 963 ₽;2020;механика;седан;передний;Drive;1.6 л/82л.с./Бензин
976;121 500 км;Renault Logan I;120 000 ₽;2005;механика;седан;передний;серый;1.4 л/75л.с./Бензин
977;Новый;Renault Logan II Рестайлинг Stepway;730 630 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
978;58 000 км;Renault Logan II;370 000 ₽;2013;механика;седан;передний;синий;1.6 л/82л.с./Бензин
979;Новый;Renault Logan II Рестайлинг;670 945 ₽;2021;механика;седан;передний;Life;1.6 л/82л.с./Бензин
980;126 429 км;Renault Logan I Рестайлинг;415 000 ₽;2013;механика;седан;передний;серебристый;1.6 л/84л.с./Бензин
981;Новый;Renault Logan II Рестайлинг;711 463 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
982;Новый;Renault Logan II Рестайлинг Stepway;от 797 300 ₽;2021;вариатор;седан;передний;Stepway Drive City;1.6 л/113л.с./Бензин
983;Новый;Renault Logan II Рестайлинг Stepway;730 630 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
984;Новый;Renault Logan II Рестайлинг;от 699 500 ₽;2021;автомат;седан;передний;Life;1.6 л/102л.с./Бензин
985;Новый;Renault Logan II Рестайлинг Stepway;от 728 100 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
986;Новый;Renault Logan II Рестайлинг Stepway;от 713 100 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
987;50 912 км;Renault Logan II;545 000 ₽;2014;механика;седан;передний;белый;1.6 л/82л.с./Бензин
988;Новый;Renault Logan II Рестайлинг;693 000 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
989;119 128 км;Renault Logan II;449 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
990;Новый;Renault Logan II Рестайлинг Stepway;922 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
991;45 881 км;Renault Logan II;534 000 ₽;2015;робот;седан;передний;белый;1.6 л/82л.с./Бензин
992;Новый;Renault Logan II Рестайлинг Stepway;от 659 100 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
993;172 000 км;Renault Logan I Рестайлинг;255 000 ₽;2010;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
994;Новый;Renault Logan II Рестайлинг;от 614 500 ₽;2021;механика;седан;передний;Life;1.6 л/82л.с./Бензин
995;Новый;Renault Logan II Рестайлинг Stepway;913 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
996;Новый;Renault Logan II Рестайлинг;684 963 ₽;2020;механика;седан;передний;Drive;1.6 л/82л.с./Бензин
997;111 000 км;Renault Logan II;481 000 ₽;2014;механика;седан;передний;серый;1.6 л/82л.с./Бензин
998;Новый;Renault Logan II Рестайлинг Stepway;995 000 ₽;2021;автомат;седан;передний;Stepway Drive;1.6 л/102л.с./Бензин
999;Новый;Renault Logan II Рестайлинг Stepway;913 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1000;Новый;Renault Logan II Рестайлинг Stepway;от 768 000 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
1001;Новый;Renault Logan II Рестайлинг Stepway;777 445 ₽;2020;вариатор;седан;передний;Stepway Life City;1.6 л/113л.с./Бензин
1002;Новый;Renault Logan II Рестайлинг Stepway;922 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1003;Новый;Renault Logan II Рестайлинг Stepway;от 719 100 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1004;Новый;Renault Logan II Рестайлинг Stepway;от 790 300 ₽;2021;вариатор;седан;передний;Stepway Drive City;1.6 л/113л.с./Бензин
1005;225 000 км;Renault Logan II;310 000 ₽;2015;механика;седан;передний;белый;1.6 л/82л.с./Бензин
1006;38 752 км;Renault Logan II;710 000 ₽;2018;механика;седан;передний;синий;1.6 л/113л.с./Бензин
1007;Новый;Renault Logan II Рестайлинг Stepway;903 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1008;Новый;Renault Logan II Рестайлинг Stepway;от 715 600 ₽;2021;вариатор;седан;передний;Stepway Life City;1.6 л/113л.с./Бензин
1009;Новый;Renault Logan II Рестайлинг Stepway;773 880 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1010;134 115 км;Renault Logan I;190 000 ₽;2006;механика;седан;передний;серебристый;1.4 л/75л.с./Бензин
1011;Новый;Renault Logan II Рестайлинг Stepway;995 000 ₽;2021;автомат;седан;передний;Stepway Drive;1.6 л/102л.с./Бензин
1012;Новый;Renault Logan II Рестайлинг Stepway;от 659 100 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/82л.с./Бензин
1013;181 050 км;Renault Logan I Рестайлинг;270 000 ₽;2014;механика;седан;передний;чёрный;1.4 л/75л.с./Бензин
1014;134 750 км;Renault Logan I Рестайлинг;380 000 ₽;2013;механика;седан;передний;белый;1.6 л/84л.с./Бензин
1015;Новый;Renault Logan II Рестайлинг Stepway;979 000 ₽;2021;автомат;седан;передний;Stepway Drive;1.6 л/102л.с./Бензин
1016;350 000 км;Renault Logan I;210 000 ₽;2007;механика;седан;передний;серый;1.4 л/75л.с./Бензин
1017;Новый;Renault Logan II Рестайлинг Stepway;979 000 ₽;2021;автомат;седан;передний;Stepway Drive;1.6 л/102л.с./Бензин
1018;Новый;Renault Logan II Рестайлинг Stepway;от 698 100 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
1019;60 912 км;Renault Logan II;550 000 ₽;2014;механика;седан;передний;серебристый;1.6 л/102л.с./Бензин
1020;Новый;Renault Logan II Рестайлинг Stepway;от 750 000 ₽;2021;механика;седан;передний;Stepway Drive;1.6 л/113л.с./Бензин
1021;Новый;Renault Logan II Рестайлинг Stepway;от 750 000 ₽;2021;механика;седан;передний;Stepway Drive;1.6 л/113л.с./Бензин
1022;Новый;Renault Logan II Рестайлинг;727 868 ₽;2020;механика;седан;передний;Life;1.6 л/82л.с./Бензин
1023;Новый;Renault Logan II Рестайлинг Stepway;922 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1024;Новый;Renault Logan II Рестайлинг Stepway;от 882 000 ₽;2021;автомат;седан;передний;Stepway Life;1.6 л/102л.с./Бензин
1025;79 500 км;Renault Logan II;520 000 ₽;2014;механика;седан;передний;синий;1.6 л/82л.с./Бензин
1026;Новый;Renault Logan II Рестайлинг;от 516 400 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
1027;Новый;Renault Logan II Рестайлинг;от 502 400 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
1028;Новый;Renault Logan II Рестайлинг;693 000 ₽;2021;механика;седан;передний;Access;1.6 л/82л.с./Бензин
1029;Новый;Renault Logan II Рестайлинг;от 699 500 ₽;2021;автомат;седан;передний;Life;1.6 л/102л.с./Бензин
1030;Новый;Renault Logan II Рестайлинг;от 683 200 ₽;2021;автомат;седан;передний;Life;1.6 л/102л.с./Бензин
1031;63 500 км;Renault Logan II;545 000 ₽;2017;механика;седан;передний;белый;1.6 л/82л.с./Бензин
1032;Новый;Renault Logan II Рестайлинг Stepway;от 688 200 ₽;2021;механика;седан;передний;Stepway Life;1.6 л/113л.с./Бензин
